Fresh,Milk
12669,9656
7057,9810
6353,8808
13265,1196
22615,5410
9413,8259
12126,3199
7579,4956
5963,3648
6006,11093
3366,5403
13146,1124
31714,12319
21217,6208
24653,9465
10253,1114
1020,8816
5876,6157
18601,6327
7780,2495
17546,4519
5567,871
31276,1917
26373,36423
22647,9776
16165,4230
9898,961
14276,803
4113,20484
43088,2100
18815,3610
2612,4339
21632,1318
29729,4786
1502,1979
688,5491
29955,4362
15168,10556
4591,15729
56159,555
24025,4332
19176,3065
10850,7555
630,11095
9670,7027
5181,22044
3103,14069
44466,54259
11519,6152
4967,21412
6269,1095
3347,4051
40721,3916
491,10473
27329,1449
5264,3683
4098,29892
5417,9933
13779,1970
6137,5360
8590,3045
35942,38369
7823,6245
9396,11601
4760,1227
85,20959
9,1534
19913,6759
2446,7260
8352,2820
16705,2037
18291,1266
4420,5139
19899,5332
8190,6343
20398,1137
717,3587
12205,12697
10766,1175
1640,3259
7005,829
219,9540
10362,9232
20874,1563
11867,3327
16117,46197
22925,73498
43265,5025
7864,542
24904,3836
11405,596
12754,2762
9198,27472
11314,3090
5626,12220
3,2920
23,2616
403,254
503,112
9658,2182
11594,7779
1420,10810
2932,6459
56082,3504
14100,2132
15587,1014
1454,6337
8797,10646
1531,8397
1406,16729
11818,1648
12579,11114
19046,2770
14438,2295
18044,1080
11134,793
11173,2521
6990,3880
20049,1891
8258,2344
17160,1200
4020,3234
12212,201
11170,10769
36050,1642
76237,3473
19219,1840
21465,7243
140,8847
42312,926
7149,2428
2101,589
14903,2032
9434,1042
7388,1882
6300,1289
4625,8579
3087,8080
13537,4257
5387,4979
17623,4280
30379,13252
37036,7152
10405,1596
18827,3677
22039,8384
7769,1936
9203,3373
5924,584
31812,1433
16225,1825
1289,3328
18840,1371
3463,9250
622,55
1989,10690
3830,5291
17773,1366
2861,6570
355,7704
1725,3651
12434,540
15177,2024
5531,15726
5224,7603
15615,12653
4822,6721
2926,3195
5809,735
5414,717
260,8675
200,25862
955,5479
514,7677
286,1208
2343,7845
45640,6958
12759,7330
11002,7075
3157,4888
12356,6036
112151,29627
694,8533
36847,43950
327,918
8170,6448
3009,521
2438,8002
8040,7639
834,11577
16936,6250
13624,295
5509,1461
180,3485
7107,1012
17023,5139
30624,7209
2427,7097
11686,2154
9670,2280
3067,13240
4484,14399
25203,11487
583,685
1956,891
1107,11711
6373,780
2541,4737
1537,3748
5550,12729
18567,1895
12119,28326
7291,1012
3317,6602
2362,6551
2806,10765
2532,16599
18044,1475
18,7504
4155,367
14755,899
5396,7503
5041,1115
2790,2527
7274,659
12680,3243
20782,5921
4042,2204
1869,577
8656,2746
11072,5989
2344,10678
25962,1780
964,4984
15603,2703
1838,6380
8635,820
18692,3838
7363,475
47493,2567
22096,3575
24929,1801
18226,659
11210,3576
6202,7775
3062,6154
8885,2428
13569,346
15671,5279
8040,3795
3191,1993
6134,23133
6623,1860
29526,7961
10379,17972
31614,489
11092,5008
8475,1931
56083,4563
53205,4959
9193,4885
7858,1110
23257,1372
2153,1115
1073,9679
5909,23527
572,9763
20893,1222
11908,8053
15218,258
4720,1032
2083,5007
514,8323
36817,3045
894,1703
680,1610
27901,3749
9061,829
11693,2317
17360,6200
3366,2884
12238,7108
49063,3965
25767,3613
68951,4411
40254,640
7149,2247
15354,2102
16260,594
42786,286
2708,2160
6022,3354
2838,3086
3996,11103
21273,2013
7588,1897
19087,1304
8090,3199
6758,4560
444,879
16448,6243
5283,13316
2886,5302
2599,3688
161,7460
243,12939
6468,12867
17327,2374
6987,1020
918,20655
7034,1492
29635,2335
2137,3737
9784,925
10617,1795
1479,14982
7127,1375
1182,3088
11800,2713
9759,25071
1774,3696
9155,1897
15881,713
13360,944
25977,3587
32717,16784
4414,1610
542,899
16933,2209
5113,1486
9790,1786
11223,14881
22321,3216
8565,4980
16823,928
27082,6817
13970,1511
9351,1347
3,333
2617,1188
381,4025
2320,5763
255,5758
1689,6964
3043,1172
1198,2602
2771,6939
27380,7184
3428,2380
5981,14641
3521,1099
1210,10044
608,1106
117,6264
14039,7393
190,727
22686,134
37,1275
759,18664
796,5878
19746,2872
4734,607
2121,1601
4627,997
2615,873
4692,6128
9561,2217
3477,894
22335,1196
6211,337
39679,3944
20105,1887
3884,3801
15076,6257
6338,2256
5841,1450
3136,8630
38793,3154
3225,3294
4048,5164
28257,944
17770,4591
34454,7435
1821,1364
10683,21858
11635,922
1206,3620
20918,1916
9785,848
9385,1530
3352,1181
2647,2761
518,4180
23632,6730
12377,865
9602,1316
4515,11991
11535,1666
11442,1032
9612,577
4446,906
27167,2801
26539,4753
25606,11006
18073,4613
6884,1046
25066,5010
7362,12844
8257,3880
8708,3634
6633,2096
2126,3289
97,3605
4983,4859
5969,1990
7842,6046
4389,10940
5065,5499
660,8494
8861,3783
4456,5266
17063,4847
26400,1377
17565,3686
16980,2884
11243,2408
13134,9347
31012,16687
3047,5970
8607,1750
3097,4230
8533,5506
21117,1162
1982,3218
16731,3922
29703,12051
39228,1431
14531,15488
10290,1981
2787,1698
